id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
325,acclaim,acclaim,โห่ร้อง,VT,"เปล่งเสียงแสดง, ตะโกน, ปรบมือให้, โห่ร้องต้อนรับ",,
326,acclimate,acclimate,ปรับตัวให้ชินกับอากาศ,VI,,adapt; accommodate; become accustomed to; acclimatize,
327,acclimate,acclimate,ปรับตัวให้ชินกับอากาศ,VT,,,
328,acclimatize,acclimatize,ปรับตัวให้ชินกับอากาศ,VT,,,
329,acclimatize,acclimatize,ปรับตัวให้ชินกับอากาศ,VI,,adapt; accommodate; become accustomed to; acclimate,
330,acclivity,acclivity,ความชัน,N,,,
331,accolade,accolade,รางวัล,N,,,
332,accommodate,accommodate,จัดที่อยู่ให้,VT,หาที่อยู่ให้,house; lodge; supply accommodations,
333,accommodate,accommodate,จัดให้เหมาะ,VT,ทำให้เข้ากับ,adapt; adjust; fit,disrupt; confuse; derange
334,accommodate,accommodate,บรรลุข้อตกลง,VI,,,
335,accommodate,accommodate,บรรลุข้อตกลง,VT,,,
336,accommodate,accommodate,ปรับตัว,VI,,,
337,accommodate,accommodate,ปรับโฟกัสของตา,VI,ปรับจุดรวมแสงของตา,,
338,accommodate,accommodate,ให้ยืมเงิน,VT,,,
339,accommodating,accommodating,ที่ช่วยเหลือ,ADJ,"ที่พยายามทำให้สะดวกสบาย, ที่พยายามทำให้พอใจ",obliging; helpful; neighborly,
340,accommodation,accommodation,การตกลงกัน,N,"การยินยอม, การพยายามประนีประนอมกัน",,
341,accommodation,accommodation,การปรับตัว,N,,adaptation,
342,accommodation,accommodation,การปรับโฟกัสของตา,N,,,
343,accommodation,accommodation,การอำนวยความสะดวก,N,การให้ความช่วยเหลือ (โดยจัดหาสิ่งของให้),ease; comfort,
344,accommodation,accommodation,เงินกู้ยืม,N,,lodgings,
345,accommodations,accommodations,ที่พัก,N,ที่อยู่,rooms; lodging; housing,
346,accompaniment,accompaniment,สิ่งที่เพิ่มเติม,N,สิ่งที่เสริมเข้ามา,,
347,accompany,accompany,(เล่นดนตรี) คลอไปด้วย,VT,เล่นดนตรีประกอบ,,
348,accompany,accompany,(เล่นดนตรี) คลอไปด้วย,VI,เล่นดนตรีประกอบ,,
349,accompany,accompany,ประกอบกับ,VT,ร่วมกับ,supplememt,
350,accompany,accompany,ไปเป็นเพื่อน,VT,"ติดตาม, ร่วมทาง, เดินทางไปด้วย",attend,
351,accompanying,accompanying,ี่ที่เพิ่มเติม,ADJ,ที่เสริมเข้ามา,,
352,accomplice,accomplice,ผู้สมรู้ร่วมคิด,N,ผู้สมคบ,associate,
353,accomplish,accomplish,ทำสำเร็จ,VT,"ทำเสร็จ, แล้วเสร็จ, บรรลุผล",complete; perform; reach,
354,accomplishment,accomplishment,การบรรลุเป้าหมาย,N,"ความสำเร็จ, ผลสัมฤทธิ์, ผลสำเร็จ",completion,
355,accomplishment,accomplishment,งานที่ทำสำเร็จ,N,,achievement,
356,accomplishment,accomplishment,ทักษะ (ส่วนใหญ่ใช้ในรูปพหูพจน์),N,ความสามารถพิเศษที่ฝึกฝน,,
357,accord,accord,การตกลงร่วมกัน,N,การยอมรับร่วมกัน,harmony,
358,accord,accord,ข้อตกลง,N,"สนธิสัญญา, สัญญา",,
359,accord,accord,ความกลมกลืน,N,ความสอดคล้อง,,
360,accord,accord,เห็นด้วย,"VI, VT","ยอมตกลงกัน, มีความเห็นสอดคล้อง",reconcile,
361,accord,accord,ให้,VT,"มอบ, ทำให้",grant; concede; bestlow,
362,accordance,accordance,การทำให้สอดคล้อง,N,,,
363,accordance,accordance,การมอบรางวัลหรือตำแหน่งให้,N,,,
364,accordance,accordance,การยอมรับร่วมกัน,N,การเห็นพ้องต้องกัน,agreement; conformity; harmony,
365,accordant,accordant,ที่สอดคล้องกัน,ADJ,,,
366,according,according,ที่ยอมรับร่วมกัน,ADJ,"ที่เห็นด้วย, ที่เห็นพ้องต้องกัน",agreeing,
367,according to,according to,ตามแต่,PREP,"ตามที่, ตาม",in accordance with; in agreement with,
368,according to,according to,ที่กำหนดโดย,PREP,ตามข้อกำหนดของ,,
369,accordingly,accordingly,ตามนั้น,ADV,"เช่นนั้น, ดังนั้น",therefore; hence; thus,
370,accordingly,accordingly,อย่างสอดคล้อง,ADV,อย่างกลมกลืน,correspondingly; proportionately,
371,accordion,accordion,หีบเพลง,N,,,
372,accost,accost,ทัก (ด้วยท่าทีที่ไม่สุภาพหรือขู่ให้กลัว),VT,เข้าไปทัก,,
373,accost,accost,เสนอขายตัว,VT,,solicit; approach,
374,accouchement,accouchement,การให้กำเนิด,N,,childbirth,
375,account,account,การคำนวณ,N,,counting; calculation,
376,account,account,การบรรยาย,N,การอธิบาย,explanation,
377,account,account,ทำรายการบัญชี,VI,ทำบัญชีรายรับรายจ่าย,,
378,account,account,บัญชี,N,"บัญชีรายรับ-รายจ่าย, รายการบัญชี",,
379,account,account,บัญชีเงินฝาก,N,บัญชีธนาคาร,,
380,account,account,พิจารณา,VT,ประเมินค่า,consider; judge; value,
381,account,account,รายงาน,N,"บันทึก, ประวัติ, เรื่องราว",report; description,
382,accountable,accountable,ที่สามารถอธิบายได้,ADJ,,explainable,
383,accountancy,accountancy,การบัญชี,N,,,
384,accountant,accountant,นักบัญชี,N,สมุห์บัญชี,,
385,accounting,accounting,หลักการบัญชี,N,ทฤษฎีการทำบัญชี,,
386,accouter,accouter,สวมหรือแต่งเครื่องแบบโดยเฉพาะเครื่องแบบทหาร,VT,,accoutre,
387,accoutre,accoutre,สวมหรือแต่งเครื่องแบบโดยเฉพาะเครื่องแบบทหาร,VT,,accouter,
388,accredit,accredit,แต่งตั้ง,VT,"เพิ่มอำนาจให้, มอบอำนาจให้",authorize; give credentials to; certify,
389,accredit,accredit,แต่งตั้งให้เป็นฑูต,VT,,,
390,accredit,accredit,ให้การยอมรับนับถือ,VT,ให้เกียรติว่า,,
391,accrete,accrete,เกิดร่วมกัน,VI,,adhere,
392,accrete,accrete,ทำให้เกิดร่วมกัน,VT,,,
393,accrue,accrue,ทำให้เพิ่มขึ้น,VT,"ทำให้พอกพูนขึ้น, ทำให้มากขึ้น",,
394,accrue,accrue,เพิ่มขึ้น,VI,"พอกพูน, มากขึ้น",increase,
395,accumulate,accumulate,เก็บสะสม,VT,"สะสม, เก็บ, สั่งสม",collect; heap; store,
396,accumulate,accumulate,เก็บสะสม,VI,"สะสม, เก็บ, สั่งสม",,
397,accumulation,accumulation,การเก็บสะสม,N,"การพอกพูน, การรวมตัวกันมากขึ้น, การเพิ่มจำนวนมากขึ้น",collection,
398,accumulation,accumulation,การเพิ่มของผลกำไร,N,,,
399,accumulation,accumulation,ของที่เก็บสะสม,N,ของที่รวบรวมไว้,heap,
400,accuracy,accuracy,ความแม่นยำ,N,"ความถูกต้อง, ความเที่ยงตรง",exactness; precision,
401,accuracy,accuracy,ความระมัดระวัง,N,ความสามารถที่จะหลีกเลี่ยงข้อผิดพลาด,,
402,accurate,accurate,ถูกต้อง,ADJ,"แน่นอน, แม่นยำ, ไร้ข้อผิดพลาด",correct; precise,
403,accurate,accurate,ระมัดระวัง,ADJ,เที่ยงตรง,,
404,accurately,accurately,อย่างแม่นยำ,ADV,"อย่างถูกต้อง, อย่างเที่ยงตรง",correctly; precisely; exactly; certainly,
405,accusation,accusation,การกล่าวหา,N,"การประณาม, การหาเหตุ",indictment; accusal; arraignment,
406,accusation,accusation,ข้อกล่าวหา,N,"ข้อหา, คำกล่าวหา",charge; indictment; allegation,
407,accuse,accuse,กล่าวหา,VT,"กล่าวโทษ, ปรักปรำ",blame; charge,
408,accuse,accuse,ฟ้องร้อง,VT,ฟ้องศาล,charge,
409,accused,accused,ซึ่งถูกกล่าวหาหรือฟ้องร้อง,ADJ,,arraigned; indicted; blamed,
410,accused,accused,ผู้ต้องหา,N,"จำเลย, ผู้ถูกกล่าวหา",,
411,accuser,accuser,ผู้กล่าวหา,N,"โจทก์, ผู้ฟ้อง, ผู้ฟ้องร้อง",prosecutor; plaintiff; objector,
412,accustom,accustom,ทำให้คุ้นเคย,VT,ทำใหเคยชิน,habituate,
413,accustomed,accustomed,คุ้นเคย,ADJ,"เคยชิน, เป็นประจำ",habitual; usual; customary,
414,ace,ace,(คะเเนนในการเล่นไพ่) หนึ่งแต้ม,N,,,
415,ace,ace,การตีลูกโฮลอินวัน (กีฬากอล์ฟ),N,,hole in one,
